SYMBOL,DART_TOTAL,DAYS,DART_AVG
LGBBROSLTD,30.200012,3.0,10.06667
DIGISPICE,1.0499997,3.0,0.3499999
SCHAEFFLER,360.8003,3.0,120.26676
KPRMILL,58.100037,3.0,19.366678
TCIDEVELOP,38.399994,3.0,12.799998
KALYANIFRG,21.149979,3.0,7.049993
VIKASPROP,0.0,3.0,0.0
SETFGOLD,94.90015,3.0,31.633383
CORDSCABLE,16.95,3.0,5.65
NILASPACES,0.100000024,3.0,0.033333343
IIHFL,5.549988,4.0,1.387497
ADANIGAS,16.84999,3.0,5.6166635
SEYAIND,16.049995,3.0,5.3499985
CHAMBLFERT,24.699997,3.0,8.233333
TNPL,17.149994,3.0,5.716665
INEOSSTYRO,81.79999,3.0,27.266663
SHEMAROO,31.15001,3.0,10.383336
ADFFOODS,22.050018,3.0,7.350006
DANGEE,0.0,1.0,0.0
VINATIORGA,266.44995,3.0,88.81665
ASIANPAINT,81.05005,3.0,27.016684
BLBLIMITED,1.0499997,3.0,0.3499999
BATAINDIA,118.150024,3.0,39.383343
PARSVNATH,0.35000014,3.0,0.11666671
SMSPHARMA,6.4500046,3.0,2.1500015
ALBERTDAVD,77.75,3.0,25.916666
KOTAKNV20,4.2199974,3.0,1.4066658
HINDZINC,14.050003,3.0,4.6833344
BALLARPUR,0.19999999,3.0,0.06666666
KOTAKBANK,91.79993,3.0,30.599976
BETA,13.350002,3.0,4.450001
SOTL,62.200012,3.0,20.733337
TOKYOPLAST,9.150002,3.0,3.0500004
DPWIRES,13.800003,3.0,4.600001
INDTERRAIN,15.349998,3.0,5.1166663
SKFINDIA,153.0,3.0,51.0
762GS2039,0.0,1.0,0.0
BEARDSELL,1.999999,3.0,0.6666663
OSIAHYPER,0.0,1.0,0.0
HARITASEAT,80.349976,3.0,26.783325
SPARC,32.149994,3.0,10.716664
ENDURANCE,155.25,3.0,51.75
CYIENT,28.600006,3.0,9.533336
AIAENG,249.49988,3.0,83.166626
BRNL,13.049995,3.0,4.3499985
IL&FSENGG,0.30000007,3.0,0.100000024
APTECHT,48.25,3.0,16.083334
ORIENTALTL,1.4499998,3.0,0.48333326
FRETAIL,29.25,3.0,9.75
MAHAPEXLTD,17.049995,3.0,5.683332
MCLEODRUSS,0.6500006,3.0,0.21666686
GALLISPAT,4.4000034,3.0,1.4666678
HOVS,6.299999,3.0,2.0999997
BANG,5.800003,3.0,1.9333344
KILITCH,13.900002,3.0,4.6333337
NABARD,19.590088,3.0,6.5300293
RELCAPITAL,1.75,3.0,0.5833333
MINDPOOL,0.0,1.0,0.0
HEIDELBERG,15.699997,3.0,5.233332
CAPACITE,12.349991,3.0,4.1166635
RUCHINFRA,0.0,3.0,0.0
SHIVAMILLS,3.5499992,3.0,1.183333
ORIENTLTD,6.4999924,3.0,2.1666641
THOMASCOTT,0.0,1.0,0.0
HONAUT,1185.1504,3.0,395.05014
MRPL,5.8499985,3.0,1.9499995
CRISIL,198.90002,3.0,66.30001
HINDPETRO,26.449982,3.0,8.816661
FACT,5.6499977,3.0,1.8833326
RAMCOSYS,32.499985,3.0,10.833328
DHAMPURSUG,30.350006,3.0,10.116669
CEBBCO,2.3499994,3.0,0.7833331
DYNAMATECH,150.65002,3.0,50.216675
SWARAJENG,202.30005,3.0,67.43335
SGBAUG24,131.69995,3.0,43.899982
DIVISLAB,133.59998,3.0,44.533325
IFBIND,106.20001,3.0,35.400005
QGOLDHALF,32.0,3.0,10.666667
KEYFINSERV,0.10000229,3.0,0.033334095
MAHSCOOTER,373.8003,3.0,124.6001
NMDC,15.500008,3.0,5.1666694
OMAXAUTO,19.349998,3.0,6.4499993
TAINWALCHM,32.149998,3.0,10.716666
AKASH,20.349998,3.0,6.783333
SGBAUG27,45.5,3.0,15.166667
TREEHOUSE,1.0999999,3.0,0.36666664
FCSSOFT,0.14999999,3.0,0.049999997
IFCI,29.030005,11.0,2.6390913
SHUBHLAXMI,2.9000015,2.0,1.4500008
CDSL,19.550018,3.0,6.5166726
ISMTLTD,0.6500001,3.0,0.2166667
ROHITFERRO,0.25000003,3.0,0.08333334
STAN,9.900005,3.0,3.3000019
PIDILITIND,126.45007,3.0,42.150024
SHAKTIPUMP,32.750015,3.0,10.916672
SWSOLAR,27.75,3.0,9.25
NBVENTURES,27.900002,3.0,9.3
IPCALAB,131.15002,3.0,43.716675
STAR,62.0,3.0,20.666666
UNIPLY,2.000001,3.0,0.666667
VISASTEEL,0.8499999,3.0,0.2833333
ZODIACLOTH,21.800003,3.0,7.266668
IVZINNIFTY,53.900024,3.0,17.966675
SUPERHOUSE,15.599998,3.0,5.1999993
SHIVAMAUTO,3.7000008,3.0,1.2333336
COFFEEDAY,6.949997,3.0,2.3166656
GTNTEX,0.0,2.0,0.0
CESCVENT,51.100037,3.0,17.033346
NESTLEIND,1126.5,3.0,375.5
AMJLAND,8.650002,3.0,2.883334
NDTV,3.5999985,3.0,1.1999995
SPICEJET,7.0999985,3.0,2.366666
BAJAJFINSV,924.6504,3.0,308.2168
M100,1.3199997,3.0,0.4399999
GOLDSTAR,0.0,1.0,0.0
HHOF1140RG,0.6699991,3.0,0.22333305
DWARKESH,5.75,3.0,1.9166666
SINTERCOM,0.80000305,2.0,0.40000153
SIRCA,48.700012,3.0,16.233337
GICHSGFIN,7.949997,3.0,2.649999
MOREPENLAB,1.4499998,3.0,0.48333326
AVG,3.25,3.0,1.0833334
BGLOBAL,0.1500001,3.0,0.05000003
FOSECOIND,274.20007,3.0,91.400024
PDMJEPAPER,2.4500017,3.0,0.81666726
MANAV,0.0,1.0,0.0
SIMPLEXINF,3.800003,3.0,1.2666677
NORBTEAEXP,0.0,1.0,0.0
VIDEOIND,0.20000005,3.0,0.066666685
KHFM,3.0999985,3.0,1.0333328
TIMESGTY,13.400002,3.0,4.466667
MOHOTAIND,1.25,3.0,0.41666666
BASF,66.79999,3.0,22.266663
RITES,39.299988,3.0,13.099996
TVTODAY,16.350006,3.0,5.450002
BROOKS,14.350002,3.0,4.7833343
RELINFRA,4.3500004,3.0,1.4500002
ASHIMASYN,1.5999999,3.0,0.5333333
COMPINFO,4.8499994,3.0,1.6166664
JHS,2.3999996,3.0,0.7999999
PRESSMN,5.9000015,3.0,1.9666672
PRESTIGE,35.19998,3.0,11.733327
PURVA,9.599998,3.0,3.1999996
SHALPAINTS,19.75,3.0,6.5833335
ULTRACEMCO,320.6499,3.0,106.8833
ORIENTHOT,2.6000004,3.0,0.8666668
JTEKTINDIA,13.050003,3.0,4.350001
GPTINFRA,8.650002,3.0,2.883334
SGBNOV23,119.0,3.0,39.666668
SGBNOV24,83.44995,3.0,27.81665
SGBNOV25,174.98999,2.0,87.494995
SGBNOV26,4.0,3.0,1.3333334
BHARATFORG,45.450012,3.0,15.150004
HILTON,2.750001,3.0,0.916667
STEL,7.550003,3.0,2.5166676
HATHWAY,1.75,3.0,0.5833333
DALBHARAT,109.0,3.0,36.333332
RESPONIND,5.4500046,3.0,1.8166682
SPENCERS,17.350006,3.0,5.783335
DOLAT,8.300003,3.0,2.7666676
DMART,226.5,3.0,75.5
ORIENTELEC,57.350006,3.0,19.116669
FMGOETZE,51.899963,3.0,17.299988
GOACARBON,31.25,3.0,10.416667
THOMASCOOK,11.049999,3.0,3.6833332
NETFLTGILT,0.19000053,3.0,0.06333351
KARDA,4.75,3.0,1.5833334
VISAKAIND,27.100006,3.0,9.033336
VIVIDHA,0.25,3.0,0.083333336
ADANITRANS,33.44998,3.0,11.149994
SUJANAUNI,0.3,3.0,0.1
TERASOFT,6.550001,3.0,2.1833336
AXISGOLD,121.6499,3.0,40.54997
GMMPFAUDLR,246.6499,3.0,82.21664
BLUEBLENDS,0.100000024,3.0,0.033333343
DABUR,54.25003,3.0,18.083344
LICNFNHGP,9.190002,3.0,3.0633342
